127.0.0.1, Broadcast, xxx
192.168.1.131, Azurewav_7f:27:c5, xxx
192.168.1.138, IntelCor_4b:3e:7b, xxx
192.168.1.143, IntelCor_81:a1:82, xxx
0.0.0.0, Apple_0a:45:69, xxx
192.168.1.124, Tp-LinkT_2e:53:8a, xxx
192.168.1.127, Apple_0a:45:69, xxx
169.254.61.66, Apple_41:43:1a, xxx
169.254.130.79, D-LinkIn_68:8e:a2, xxx
169.254.160.187, HonHaiPr_0b:c5:a5, xxx
192.168.1.128, Apple_b7:b0:76, xxx
192.168.1.123, Apple_cb:49:fb, xxx
169.254.169.254, Broadcast, xxx
192.168.1.116, Apple_f1:ec:4c, xxx
192.168.1.106, RealtekS_68:00:37, xxx
192.168.1.140, Apple_54:a3:88, xxx
192.168.1.108, Apple_ce:13:70, xxx
169.254.30.31, Apple_37:a7:40, xxx
169.254.130.255, D-LinkIn_68:8d:5e, xxx
192.168.1.9, HewlettP_ef:e9:a5, xxx
10.221.1.199, IntelCor_cb:02:b9, xxx
192.168.1.160, LiteonTe_07:af:7b, xxx
146.155.1.155, Broadcast, xxx
192.168.1.111, HonHaiPr_f8:77:b3, xxx
192.168.122.1, HonHaiPr_f8:77:b3, xxx
10.221.0.1, Broadcast, xxx
192.168.1.1, Broadcast, xxx
10.230.0.1, Broadcast, xxx
169.254.230.123, D-LinkIn_68:8d:31, xxx
192.168.1.105, Apple_a4:13:18, xxx
169.254.160.168, Apple_a0:ab:ba, xxx
192.168.1.141, CompalIn_14:00:19, xxx
10.221.21.2, HonHaiPr_0b:c5:a5, xxx
169.254.109.189, Apple_37:a7:40, xxx
169.254.39.187, Apple_99:25:e7, xxx
192.168.1.110, QuantaCo_b8:a8:61, xxx
192.168.1.121, LiteonTe_07:af:7b, xxx
192.168.1.119, Apple_b6:a6:0e, xxx
192.168.1.112, QuantaCo_6f:55:71, xxx
169.254.220.123, LiteonTe_07:af:7b, xxx
192.168.1.142, Apple_82:aa:f7, xxx
127.0.0.3, Broadcast, xxx
192.168.1.0, Broadcast, xxx
192.168.1.130, Apple_c6:d4:1f, xxx
192.168.1.113, CompalIn_87:19:ef, xxx
192.168.1.103, AsustekC_37:7a:d0, xxx
192.168.1.104, IntelCor_d2:d8:77, xxx
192.168.1.101, BizlinkK_5d:67:86, xxx
192.168.1.107, LcfcHefe_d7:1a:0b, xxx
192.168.1.115, Apple_6b:b3:18, xxx
192.168.1.210, AsustekC_c9:d4:e4, xxx
192.168.1.117, HewlettP_53:0b:06, xxx
192.168.1.120, LiteonTe_84:f8:a7, xxx
169.254.115.223, IntelCor_cb:02:b9, xxx
192.168.1.114, Apple_34:0b:32, xxx
192.168.1.136, Apple_18:85:8c, xxx
